Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 10, Length_CIR: 200, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.967741935483871, 'Sitting Still': 0.9642857142857143, 'Standing Still': 1.0, 'Standing Up': 0.975609756097561, 'Walking': 0.9696969696969697, 'Waving arms': 0.9705882352941176}, Overall Accuracy: 97.92531132698059%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 10, Length_CIR: 225, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.96875, 'Sitting Still': 0.9629629629629629, 'Standing Still': 0.967741935483871, 'Standing Up': 0.9736842105263158, 'Walking': 1.0, 'Waving arms': 0.8888888888888888}, Overall Accuracy: 96.65272235870361%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 12, Length_CIR: 50, Accuracies: {'Empty': 0.975609756097561, 'Sitting Down': 0.9615384615384616, 'Sitting Still': 0.9117647058823529, 'Standing Still': 0.9666666666666667, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9375}, Overall Accuracy: 96.69421315193176%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 12, Length_CIR: 75, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 1.0, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9142857142857143}, Overall Accuracy: 98.76033067703247%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 12, Length_CIR: 100, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 1.0, 'Standing Still': 0.9666666666666667, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 99.17355179786682%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 12, Length_CIR: 125, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 1.0, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 99.58677887916565%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 12, Length_CIR: 150, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9642857142857143, 'Sitting Still': 0.9696969696969697, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 98.76033067703247%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 12, Length_CIR: 175, Accuracies: {'Empty': 0.975609756097561, 'Sitting Down': 0.9090909090909091, 'Sitting Still': 0.9285714285714286, 'Standing Still': 0.9705882352941176, 'Standing Up': 0.972972972972973, 'Walking': 1.0, 'Waving arms': 1.0}, Overall Accuracy: 96.68049812316895%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 12, Length_CIR: 200, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9666666666666667, 'Sitting Still': 0.9655172413793104, 'Standing Still': 1.0, 'Standing Up': 0.975, 'Walking': 0.9705882352941176, 'Waving arms': 0.9705882352941176}, Overall Accuracy: 97.92531132698059%
Scenario: Complex_LOS-23-12-2022, Model: lstm_fcn, Number_CIR: 12, Length_CIR: 225, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.96875, 'Sitting Still': 1.0, 'Standing Still': 0.967741935483871, 'Standing Up': 0.9743589743589743, 'Walking': 1.0, 'Waving arms': 0.8888888888888888}, Overall Accuracy: 97.07112908363342%
